date, pm25, pm10, o3, no2, so2, co
23-01-21,165,49,14,13,1, 
24-01-21,105,47,13,11,1, 
25-01-21,90,51,14,12,1, 
26-01-21,95,55,11,15,1, 
27-01-21,110,56,20,15,2, 
28-01-21,110,61,20,16,1, 
29-01-21,120,61,19,16,1, 
30-01-21,131,67,24,16,1, 
31-01-21,138,78,26,27,2, 
01-02-21,159,76,24,28,1, 
02-02-21,149,70,20,22,1, 
03-02-21,150,68,16,23,1, 
04-02-21,142,70,20,26,1, 
05-02-21,141,66,23,22,2, 
06-02-21,139,74,34,21,3, 
07-02-21,160,59,14,8,2, 
08-02-21,111,68,8,13,1, 
09-02-21,114,56,21,15,1, 
10-02-21,107,51,4,19,1, 
11-02-21,98,65,20,25,1, 
12-02-21,123,59,26,12,1, 
13-02-21,121,46,18,10,1, 
14-02-21,95,53,15,11,1, 
15-02-21,93,46,16,10,1, 
16-02-21,93,51,20,15,1, 
17-02-21,107,62,16,14,1, 
18-02-21,131,57,17,15,1, 
19-02-21,121,61,24,17,1, 
20-02-21,128,71,32,23,1, 
21-02-21,154,66,20,13, , 
22-02-21,147,60,18,13,1, 
23-02-21,125,63,16,11,1, 
24-02-21,129,64,28,20,1, 
25-02-21,141,65,9,16,1, 
26-02-21,143,61,6,11,1, 
27-02-21,142,65,8,7,2, 
28-02-21,126,46,10,10,2, 
01-03-21,83,32,8,8,1, 
02-03-21,67,27,7,6,2, 
03-03-21,58,37,13,10,1, 
04-03-21,74,35,14,6, , 
05-03-21,71,39,13,5,1, 
06-03-21,80,39,13,3,1, 
07-03-21,77,42,13,9,1, 
08-03-21,86,46,12,12,1, 
09-03-21,89,52,15,16,1, 
10-03-21,105,61,15,16,1, 
11-03-21,120,56,16,14,5, 
12-03-21,104,48,16,11,1, 
13-03-21,94,45,14,7, , 
14-03-21,88,43,12,8, , 
15-03-21,86,51,12,7, , 
16-03-21,93,54,11,7, , 
17-03-21,104,59,15,10, , 
18-03-21,121,54,16,7, , 
19-03-21,104,55,14,5,1, 
20-03-21,103,42,11,4, , 
21-03-21,84,60,8,13, , 
22-03-21,117,60,23,17, , 
23-03-21,119,68,30,17, , 
24-03-21,140,63,23,9,1, 
25-03-21,119,39,15,5, , 
26-03-21,73,34,9,4, , 
27-03-21,62,35,12,4,1, 
28-03-21,71,34,12,4,1, 
29-03-21,70,39,14,6,1, 
30-03-21,75,44,17,7, , 
31-03-21,93,36,13,7, , 
01-10-20,56,21,7,12, , 
02-10-20,48,25,12,14, , 
03-10-20,57,18,11,12, , 
04-10-20,43,23,10,9, , 
05-10-20,58,26,12,12, , 
06-10-20,68,28,12,9, , 
07-10-20,67,20,5,10, , 
08-10-20,57,20,4,18, , 
09-10-20,53,26,2,16, , 
10-10-20,52,27,6,16, , 
11-10-20,58,42,12,20, , 
12-10-20,77,31,3,16, , 
13-10-20,69,32,11,16, , 
14-10-20,63,55,11,12,1, 
15-10-20,79,26,11,13, , 
16-10-20,49,20,4,15, , 
17-10-20,46,19,5,7, , 
18-10-20,42,34,4,7, , 
19-10-20,71,41,8,7, , 
20-10-20,67,31,9,12, , 
21-10-20,65,28,6,9,1, 
22-10-20,75,38,16,8, , 
23-10-20,83,59,22,12,1, 
24-10-20,99,64,29,25,1, 
25-10-20,128,59,22,25,1, 
26-10-20,116,42,11,21,1, 
27-10-20,82,46,16,20, , 
28-10-20,94,33,3,15, , 
29-10-20,76,25,2,12, , 
30-10-20,57,29,8,14, , 
31-10-20,58,32,7,12, , 
01-11-20,56,42,15,12, , 
02-11-20,77,38,13,9, , 
03-11-20,79,42,18,13, , 
04-11-20,94,39,23,14,1, 
05-11-20,85,49,20,18,2, 
06-11-20,94,34,16,10, , 
07-11-20,74,49,21,11, , 
08-11-20,103,49,22,14, , 
09-11-20,102,53,23,18,1, 
10-11-20,108,52,19,15,1, 
11-11-20,101,42,12,15, , 
12-11-20,87,53,21,15, , 
13-11-20,106,62,31,16,1, 
14-11-20,120,65,34,16,1, 
15-11-20,138,37,23,13,1, 
16-11-20,77,47,18,20,1, 
17-11-20,89,50,15,23,1, 
18-11-20,100,57,20,21,1, 
19-11-20,119,53,12,21, , 
20-11-20,107,43,5,17, , 
21-11-20,80,35,11,19, , 
22-11-20,77,49,7,21,1, 
23-11-20,92,36,11,15, , 
24-11-20,72,39,12,14, , 
25-11-20,73,37,14,15, , 
26-11-20,67,30,12,15, , 
